sound,person,word,utter,phoneme,part_word,poa_prev,moa_prev,poa_next,moa_next,f1,f2,time,start,end,duration,ln_f1,ln_f2,norm_f1,norm_f2
T_POKEMAN_total_337,FA,ɩkabwɩ,u2,ɩ,pref ,none,none,velar,stop,294.0348587,2190.385272,382.2365088,69.17653546,382.2019206,382.2710971,5.683698327,7.691832731,-0.425716673,0.405968731
T_POKEMAN_total_415,FA,ɩkpɩrɩ,u2,ɩ, root ,labiovelar,stop,dental,thrill,450.8357174,1335.29357,1678.61715,33.00966394,1678.600645,1678.633655,6.11110301,7.196906449,0.00168801,-0.088957551
T_POKEMAN_total_415,FA,ɩkpɩrɩ,u3,ɩ, root ,labiovelar,stop,dental,thrill,466.0636388,1421.731528,1680.028679,46.5248679,1680.005416,1680.051941,6.144322189,7.259630794,0.034907189,-0.026233206
T_POKEMAN_total_415,FA,ɩkpɩrɩ,u1,ɩ, root ,labiovelar,stop,dental,thrill,448.8239303,1477.590327,1676.964605,29.30696075,1676.949952,1676.979259,6.106630673,7.298167882,-0.002784327,0.012303882
T_POKEMAN_total_415,FA,ɩkpɩrɩ,u3,ɩ,pref ,none,none,labiovelar,stop,408.4038177,1997.233739,1679.839426,73.53990737,1679.802656,1679.876196,6.012256434,7.599518372,-0.097158566,0.313654372
T_POKEMAN_total_415,FA,ɩkpɩrɩ,u2,ɩ,pref ,none,none,labiovelar,stop,303.257346,2000.082693,1678.412368,97.80641168,1678.363465,1678.461271,5.714581772,7.600943805,-0.394833228,0.315079805
T_POKEMAN_total_415,FA,ɩkpɩrɩ,u1,ɩ,pref ,none,none,labiovelar,stop,283.3469564,2046.817003,1676.759457,70.82515516,1676.724044,1676.794869,5.646672141,7.624041184,-0.462742859,0.338177184
T_POKEMAN_total_413,FA,ɩlɔŋɔ ,u2,ɩ,pref,none,none,dental,lateral,328.8703189,1969.88277,1634.838762,73.64123849,1634.801941,1634.875582,5.795663506,7.585729312,-0.313751494,0.299865312
T_POKEMAN_total_413,FA,ɩlɔŋɔ ,u3,ɩ,pref,none,none,dental,lateral,301.2951013,1989.500035,1636.012265,68.64840125,1635.977941,1636.046589,5.708090187,7.595638647,-0.401324813,0.309774647
T_POKEMAN_total_333,FA,ɩna,u3,ɩ,pref ,none,none,dental,nasal,361.7557592,1871.21278,354.508941,86,354.465941,354.551941,5.890969286,7.534342045,-0.218445714,0.248478045
T_POKEMAN_total_333,FA,ɩna,u2,ɩ,pref ,none,none,dental,nasal,353.3157661,1956.765936,352.8657357,111.5894046,352.809941,352.9215304,5.867362179,7.579048357,-0.242052821,0.293184357
T_POKEMAN_total_385,FA,ɩnɔkpa,u4,ɩ,pref ,none,none,dental,nasal,339.4446681,1956.995255,1155.247941,60,1155.217941,1155.277941,5.827310953,7.579165543,-0.282104047,0.293301543
T_POKEMAN_total_385,FA,ɩnɔkpa,u1,ɩ,pref ,none,none,dental,nasal,329.3111895,2010.214959,1150.043876,83.86980592,1150.001941,1150.085811,5.797003168,7.60599694,-0.312411832,0.32013294
T_POKEMAN_total_385,FA,ɩnɔkpa,u2,ɩ,pref ,none,none,dental,nasal,366.0073951,2050.722139,1151.792941,62,1151.761941,1151.823941,5.902653538,7.625947273,-0.206761462,0.340083273
T_POKEMAN_total_385,FA,ɩnɔkpa,u3,ɩ,pref ,none,none,dental,nasal,327.6130951,2054.034445,1153.493169,86.45570103,1153.449941,1153.536397,5.791833324,7.62756116,-0.317581676,0.34169716
T_POKEMAN_total_386,FA,ɩpɔrɔntʋ,u2,ɩ,pref ,none,none,labial,stop,325.510094,1968.528448,1173.198446,75.06917543,1173.160911,1173.235981,5.785393472,7.585041562,-0.324021528,0.299177562
T_POKEMAN_total_386,FA,ɩpɔrɔntʋ,u3,ɩ,pref ,none,none,labial,stop,327.8143187,2114.264535,1175.140796,90.66022518,1175.095466,1175.186126,5.792447347,7.656462293,-0.316967653,0.370598293
T_POKEMAN_total_387,FA,ipɛya,u2,ɩ,pref ,none,none,labial,stop,286.6655087,1914.493774,1188.843191,48.16581038,1188.819108,1188.867274,5.658316061,7.557208519,-0.451098939,0.271344519
T_POKEMAN_total_390,FA,ɩpʋbwal,u3,ɩ,pref ,none,none,labial,stop,429.2509855,1965.739585,1227.822048,60.9574545,1227.791569,1227.852526,6.062041796,7.583623833,-0.047373204,0.297759833
T_POKEMAN_total_390,FA,ɩpʋbwal,u1,ɩ,pref ,none,none,labial,stop,304.1240469,2008.535883,1224.615267,77.58955972,1224.576473,1224.654062,5.717435667,7.605161319,-0.391979333,0.319297319
T_POKEMAN_total_390,FA,ɩpʋbwal,u2,ɩ,pref ,none,none,labial,stop,345.0954982,2040.040239,1226.381161,58.54019334,1226.351891,1226.410431,5.843821185,7.620724812,-0.265593815,0.334860812
T_POKEMAN_total_334,FA,ɩsa,u1,ɩ,pref ,none,none,dental,fricative,269.0226098,1994.287796,356.5879514,61.43997068,356.5572314,356.6186714,5.594795427,7.598042271,-0.514619573,0.312178271
T_POKEMAN_total_334,FA,ɩsa,u3,ɩ,pref ,none,none,dental,fricative,267.2674672,2287.093343,359.744863,47.68815713,359.7210189,359.768707,5.588249907,7.735037008,-0.521165093,0.449173008
T_POKEMAN_total_336,FA,ɩsɩ,u3,ɩ, root ,dental,fricative,none,none,316.5238228,1953.424844,369.6408461,58.69524221,369.6114985,369.6701937,5.757398508,7.577339441,-0.352016492,0.291475441
T_POKEMAN_total_336,FA,ɩsɩ,u3,ɩ,pref ,none,none,dental,fricative,352.1718296,1968.745528,369.412941,86,369.369941,369.455941,5.864119209,7.585151831,-0.245295791,0.299287831
